0, 1, 0, 1, 0, 0.4, 0, 0, 0, 0, 0, 60, 60, 
0, 1, 0, 1, 0, 0.4, 0, 0, 0, 0, 0, 60, 60, 
64, 1, 0.6, 1, 0, 1, 0, 0, 0, 0, 0, 54, 54, 
64, 1, 0.6, 1, 0, 1, 0, 0, 0, 0, 0, 54, 54, 
128, 1, 0.5, 1, 0.5, 1, 1, 0, 0.5, 0, 0.5, 48, 48, 
128, 1, 0.5, 1, 0.5, 1, 1, 0, 0.5, 0, 0.5, 48, 48, 
192, 1, 0, 1, 0, 0.25, 1, 0, 1, 0.75, 1, 44, 44, 
192, 1, 0, 1, 0, 0.25, 1, 0, 1, 0.75, 1, 44, 44, 
256, 1, 0.1, 0.45, 0.4, 0.6, 1, 0.55, 0.9, 0.2, 0.5, 36, 24, 
256, 1, 0.1, 0.45, 0.4, 0.6, 1, 0.55, 0.9, 0.2, 0.5, 36, 24, 
