0, 1, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 64, 64, 
0, 1, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 64, 64, 
64, 1, 0, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 64, 64, 
64, 1, 0, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 64, 64, 
128, 1, 0, 1, 0.5, 1, 0, 0, 0, 0, 0, 48, 48, 
128, 1, 0, 1, 0.5, 1, 0, 0, 0, 0, 0, 48, 48, 
192, 1, 0, 1, 0, 0.3, 0, 0, 0, 0, 0, 48, 48, 
192, 1, 0, 1, 0, 0.3, 0, 0, 0, 0, 0, 48, 48, 
256, 1, 0, 0.4, 0, 0.4, 1, 0.5, 1, 0.5, 1, 32, 32, 
256, 1, 0, 0.4, 0, 0.4, 1, 0.5, 1, 0.5, 1, 32, 32, 
320, 1, 0, 1, 0.1, 0.3, 1, 0, 1, 0.6, 0.8, 24, 24, 
320, 1, 0, 1, 0.1, 0.3, 1, 0, 1, 0.6, 0.8, 24, 24, 
384, 1, 0.2, 0.4, 0, 1, 1, 0.6, 0.8, 0, 1, 36, 36, 
384, 1, 0.2, 0.4, 0, 1, 1, 0.6, 0.8, 0, 1, 36, 36, 
